Division,District,Thana / Upazila,Market Classification,FMCG Trade Class,Primary Sector,Consumer Profile Tag,Likely Top FMCG Categories,Distribution Priority
Dhaka,Manikganj,Ghior,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Manikganj,Harirampur,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Manikganj,Manikganj Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Manikganj,Saturia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Manikganj,Shivalaya,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Manikganj,Singair,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Munshiganj,Gazaria,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Munshiganj,Louhajang,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Munshiganj,Munshiganj Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Munshiganj,Sirajdikhan,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Munshiganj,Sreenagar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Munshiganj,Tongibari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Rajbari,Baliakandi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Rajbari,Goalandaghat,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Rajbari,Kalukhali,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Rajbari,Pangsha,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Rajbari,Rajbari Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Shariatpur,Bhedarganj,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Shariatpur,Damudya,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Shariatpur,Gosairhat,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Shariatpur,Naria,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Shariatpur,Shariatpur Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Shariatpur,Zanjira,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Faridpur,Alfadanga,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Faridpur,Bhanga,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Faridpur,Boalmari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Faridpur,Charbhadrasan,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Faridpur,Faridpur Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Faridpur,Madhukhali,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Faridpur,Nagarkanda,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Faridpur,Sadarpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Faridpur,Saltha,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Gopalganj,Gopalganj Sadar,Semi-Urban,General Trade,Agriculture,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Gopalganj,Kashiani,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Gopalganj,Kotalipara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Gopalganj,Muksudpur,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Gopalganj,Tungipara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Madaripur,Kalkini,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Madaripur,Madaripur Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Madaripur,Rajoir,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Madaripur,Shibchar,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Kishoreganj,Austagram,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Kishoreganj,Bajitpur,Semi-Urban,General Trade,Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Kishoreganj,Bhairab,Semi-Urban,General Trade,Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Kishoreganj,Hossainpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Kishoreganj,Itna,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Kishoreganj,Karimganj,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Kishoreganj,Katiadi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Kishoreganj,Kishoreganj Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Dhaka,Kishoreganj,Kuliarchar,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Kishoreganj,Mithamain,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Kishoreganj,Nikli,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Dhaka,Kishoreganj,Pakundia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Kishoreganj,Tarail,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Basail,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Bhuapur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Delduar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Dhanbari,Rural,General Trade,Industry,General FMCG Consumer,"Biscuits, soap, noodles, beverages",C
Dhaka,Tangail,Ghatail,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Gopalpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Kalihati,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Madhupur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Mirzapur,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Dhaka,Tangail,Nagarpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Sakhipur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Dhaka,Tangail,Tangail Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Chattogram,Akbar Shah,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Chattogram,Chattogram,Bakalia,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Chattogram,Chattogram,Bandar,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Chattogram,Bayazid,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Chattogram,Chattogram,Chandgaon,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Chattogram,Chattogram,Double Mooring,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Chattogram,Chattogram,EPZ,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Chattogram,Halishahar,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Chattogram,Chattogram,Khulshi,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Chattogram,Chattogram,Kotwali,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Chattogram,Chattogram,Pahartali,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Chattogram,Panchlaish,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Chattogram,Chattogram,Patenga,Urban,Mixed (GT+MT),Industry,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Chattogram,Chattogram,Sadarghat,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Chattogram,Chattogram,Sitakunda (urban),Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Chattogram,Anwara,Rural,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Chattogram,Banshkhali,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Chattogram,Boalkhali,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chattogram,Chandanaish,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chattogram,Fatikchhari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chattogram,Hathazari,Semi-Urban,General Trade,Agriculture,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Chattogram,Lohagara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chattogram,Mirsharai,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Chattogram,Patiya,Semi-Urban,General Trade,Agriculture,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Chattogram,Rangunia,Rural,General Trade,Agriculture,Tea Belt Rural Consumer,"Tea, biscuits, soaps, hair oil, noodles",B
Chattogram,Chattogram,Raozan,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chattogram,Sandwip,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Chattogram,Satkania,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chattogram,Sitakunda,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Cox's Bazar,Chakaria,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Chattogram,Cox's Bazar,Cox's Bazar Sadar,Semi-Urban,Mixed (GT+MT),Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Cox's Bazar,Kutubdia,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Cox's Bazar,Maheshkhali,Rural,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Cox's Bazar,Pekua,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Chattogram,Cox's Bazar,Ramu,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Cox's Bazar,Teknaf,Rural,General Trade,Services,Border / Port Trade Consumer,"Packaged food, beverages, personal care",B
Chattogram,Cox's Bazar,Ukhia,Rural,General Trade,Services,Service Economy Consumer,"Packaged food, beverages, personal care, household",B
Chattogram,Comilla,Barura,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Brahmanpara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Burichang,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Chandina,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Comilla,Chauddagram,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Comilla Sadar,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Chattogram,Comilla,Comilla Sadar South,Semi-Urban,General Trade,Agriculture,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Comilla,Daudkandi,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Comilla,Debidwar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Homna,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Comilla,Laksam,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Comilla,Lalmai,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Meghna,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Comilla,Monoharganj,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Muradnagar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Nangalkot,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Comilla,Titas,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Feni,Chhagalnaiya,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Feni,Daganbhuiyan,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Feni,Feni Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
