Division,District,Thana / Upazila,Primary Sector,Sub-Activity (Dominant Livelihood),FMCG Trade Class,Market Classification
Dhaka,Kishoreganj,Nikli,Agriculture,Haor fishing / rice,General Trade,Rural
Dhaka,Kishoreganj,Pakundia,Agriculture,Rice & jute farming,General Trade,Rural
Dhaka,Kishoreganj,Tarail,Agriculture,Rice farming,General Trade,Rural
Dhaka,Tangail,Basail,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Tangail,Bhuapur,Agriculture,Rice / banana cultivation,General Trade,Rural
Dhaka,Tangail,Delduar,Agriculture,Rice farming / handloom,General Trade,Rural
Dhaka,Tangail,Dhanbari,Industry,Tea / small industry,General Trade,Rural
Dhaka,Tangail,Ghatail,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Tangail,Gopalpur,Agriculture,Rice farming,General Trade,Rural
Dhaka,Tangail,Kalihati,Agriculture,Rice & jute farming,General Trade,Rural
Dhaka,Tangail,Madhupur,Agriculture,Pineapple / banana / indigenous crops,General Trade,Rural
Dhaka,Tangail,Mirzapur,Industry,Cement / brick / agro-processing,Industrial GT,Semi-Urban
Dhaka,Tangail,Nagarpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Dhaka,Tangail,Sakhipur,Agriculture,Rice / forest produce,General Trade,Rural
Dhaka,Tangail,Tangail Sadar,Services,Trade / handloom / education,General Trade,Semi-Urban
Chattogram,Chattogram,Akbar Shah,Services,Port-related / residential,General Trade,Urban
Chattogram,Chattogram,Bakalia,Services,Dense residential / retail,General Trade,Urban
Chattogram,Chattogram,Bandar,Industry,Seaport / ship breaking / trade,Industrial GT,Urban
Chattogram,Chattogram,Bayazid,Services,Residential / retail,General Trade,Urban
Chattogram,Chattogram,Chandgaon,Services,Residential / commercial,Mixed (GT+MT),Urban
Chattogram,Chattogram,Double Mooring,Services,Port city commercial / wholesale,General Trade,Urban
Chattogram,Chattogram,EPZ,Industry,Export processing zone / garments,Industrial GT,Urban
Chattogram,Chattogram,Halishahar,Services,Residential / port-adjacent,General Trade,Urban
Chattogram,Chattogram,Khulshi,Services,Upscale residential / corporate,Modern Trade,Urban
Chattogram,Chattogram,Kotwali,Services,Old city wholesale / retail,General Trade,Urban
Chattogram,Chattogram,Pahartali,Industry,Railway / industrial / residential,Industrial GT,Urban
Chattogram,Chattogram,Panchlaish,Services,Corporate / residential / retail,Modern Trade,Urban
Chattogram,Chattogram,Patenga,Industry,Airport / beach tourism / port,Mixed (GT+MT),Urban
Chattogram,Chattogram,Sadarghat,Services,River port / wholesale trade,General Trade,Urban
Chattogram,Chattogram,Sitakunda (urban),Industry,Ship breaking / chemical / industry,Industrial GT,Semi-Urban
Chattogram,Chattogram,Anwara,Industry,Ship breaking / salt production,Industrial GT,Rural
Chattogram,Chattogram,Banshkhali,Agriculture,Paddy / salt / fishing,General Trade,Rural
Chattogram,Chattogram,Boalkhali,Agriculture,Rice farming / small trade,General Trade,Rural
Chattogram,Chattogram,Chandanaish,Agriculture,Rice / vegetable farming,General Trade,Rural
Chattogram,Chattogram,Fatikchhari,Agriculture,Rice / hill crops,General Trade,Rural
Chattogram,Chattogram,Hathazari,Agriculture,Rice farming / poultry,General Trade,Semi-Urban
Chattogram,Chattogram,Lohagara,Agriculture,Rice farming,General Trade,Rural
Chattogram,Chattogram,Mirsharai,Industry,Economic zone / cement / fishing,Industrial GT,Semi-Urban
Chattogram,Chattogram,Patiya,Agriculture,Rice / vegetable / poultry,General Trade,Semi-Urban
Chattogram,Chattogram,Rangunia,Agriculture,Rice / rubber / tea,General Trade,Rural
Chattogram,Chattogram,Raozan,Agriculture,Rice farming / brick kilns,General Trade,Rural
Chattogram,Chattogram,Sandwip,Agriculture,Rice / fishing / salt,General Trade,Rural
Chattogram,Chattogram,Satkania,Agriculture,Rice / betel nut,General Trade,Rural
Chattogram,Chattogram,Sitakunda,Industry,Ship breaking / chemical industry,Industrial GT,Semi-Urban
Chattogram,Cox's Bazar,Chakaria,Agriculture,Rice / shrimp / salt production,General Trade,Rural
Chattogram,Cox's Bazar,Cox's Bazar Sadar,Services,Tourism / hotel / fishing,Mixed (GT+MT),Semi-Urban
Chattogram,Cox's Bazar,Kutubdia,Agriculture,Salt / fishing,General Trade,Rural
Chattogram,Cox's Bazar,Maheshkhali,Industry,LNG terminal / salt / shrimp,Industrial GT,Rural
Chattogram,Cox's Bazar,Pekua,Agriculture,Shrimp / salt / rice,General Trade,Rural
Chattogram,Cox's Bazar,Ramu,Agriculture,Rice / rubber / fishing,General Trade,Rural
Chattogram,Cox's Bazar,Teknaf,Services,Border trade / fishing / tourism,General Trade,Rural
Chattogram,Cox's Bazar,Ukhia,Services,Humanitarian / refugee services / farming,General Trade,Rural
Chattogram,Comilla,Barura,Agriculture,Rice / vegetable farming,General Trade,Rural
Chattogram,Comilla,Brahmanpara,Agriculture,Rice farming,General Trade,Rural
Chattogram,Comilla,Burichang,Agriculture,Rice farming / small trade,General Trade,Rural
Chattogram,Comilla,Chandina,Services,Trade / small industry,General Trade,Semi-Urban
Chattogram,Comilla,Chauddagram,Agriculture,Rice / vegetable farming,General Trade,Rural
Chattogram,Comilla,Comilla Sadar,Services,Trade / education / EPZ-adjacent,Mixed (GT+MT),Urban
Chattogram,Comilla,Comilla Sadar South,Agriculture,Rice & vegetable farming,General Trade,Semi-Urban
Chattogram,Comilla,Daudkandi,Services,River port / transit trade,General Trade,Semi-Urban
Chattogram,Comilla,Debidwar,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Comilla,Homna,Agriculture,Rice farming / fishing,General Trade,Rural
Chattogram,Comilla,Laksam,Services,Trade / railway junction,General Trade,Semi-Urban
Chattogram,Comilla,Lalmai,Agriculture,Rice farming,General Trade,Rural
Chattogram,Comilla,Meghna,Agriculture,Rice / fishing,General Trade,Rural
Chattogram,Comilla,Monoharganj,Agriculture,Rice farming,General Trade,Rural
Chattogram,Comilla,Muradnagar,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Comilla,Nangalkot,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Comilla,Titas,Industry,Gas field / small trade,Industrial GT,Semi-Urban
Chattogram,Feni,Chhagalnaiya,Agriculture,Rice / vegetable farming,General Trade,Rural
Chattogram,Feni,Daganbhuiyan,Agriculture,Rice / salt / fishing,General Trade,Rural
Chattogram,Feni,Feni Sadar,Services,Trade / education / remittance economy,General Trade,Semi-Urban
Chattogram,Feni,Parshuram,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Feni,Sonagazi,Agriculture,Rice / salt production,General Trade,Rural
Chattogram,Feni,Fulgazi,Agriculture,Rice farming,General Trade,Rural
Chattogram,Noakhali,Begumganj,Agriculture,Rice / vegetable / poultry,General Trade,Rural
Chattogram,Noakhali,Chatkhil,Agriculture,Rice farming / small trade,General Trade,Rural
Chattogram,Noakhali,Companiganj,Agriculture,Stone / sand quarrying / rice,General Trade,Rural
Chattogram,Noakhali,Hatiya,Agriculture,Rice / fishing / salt,General Trade,Rural
Chattogram,Noakhali,Kabir Hat,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Noakhali,Noakhali Sadar,Services,Trade / education / services,General Trade,Semi-Urban
Chattogram,Noakhali,Senbagh,Agriculture,Rice farming,General Trade,Rural
Chattogram,Noakhali,Sonaimuri,Agriculture,Rice / vegetable farming,General Trade,Rural
Chattogram,Noakhali,Subarna Char,Agriculture,Rice / char land farming,General Trade,Rural
Chattogram,Lakshmipur,Kamalnagar,Agriculture,Rice / fishing / char farming,General Trade,Rural
Chattogram,Lakshmipur,Lakshmipur Sadar,Services,Trade / small industry / remittance,General Trade,Semi-Urban
Chattogram,Lakshmipur,Ramganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Lakshmipur,Ramgati,Agriculture,Rice / fishing / char farming,General Trade,Rural
Chattogram,Lakshmipur,Roypur,Agriculture,Rice farming,General Trade,Rural
Chattogram,Chandpur,Chandpur Sadar,Services,River port / wholesale fish / trade,General Trade,Semi-Urban
Chattogram,Chandpur,Faridganj,Agriculture,Rice farming / fishing,General Trade,Rural
Chattogram,Chandpur,Haimchar,Agriculture,Rice / char cultivation,General Trade,Rural
Chattogram,Chandpur,Hajiganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Chandpur,Kachua,Agriculture,Rice farming / fishing,General Trade,Rural
Chattogram,Chandpur,Matlab North,Agriculture,Rice / fishing,General Trade,Rural
Chattogram,Chandpur,Matlab South,Agriculture,Rice farming,General Trade,Rural
Chattogram,Chandpur,Shahrasti,Agriculture,Rice farming / small trade,General Trade,Rural
Chattogram,Brahmanbaria,Akhaura,Services,Land port / border trade,General Trade,Semi-Urban
Chattogram,Brahmanbaria,Ashuganj,Industry,Power plant / gas / fertiliser,Industrial GT,Semi-Urban
Chattogram,Brahmanbaria,Bancharampur,Agriculture,Rice farming,General Trade,Rural
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Services,Trade / education / handloom,General Trade,Semi-Urban
Chattogram,Brahmanbaria,Kasba,Agriculture,Rice & vegetable farming,General Trade,Rural
Chattogram,Brahmanbaria,Nabinagar,Agriculture,Rice farming / handloom,General Trade,Rural
Chattogram,Brahmanbaria,Nasirnagar,Agriculture,Rice farming,General Trade,Rural
Chattogram,Brahmanbaria,Sarail,Agriculture,Rice farming / small trade,General Trade,Rural
Chattogram,Brahmanbaria,Bijoynagar,Agriculture,Rice farming,General Trade,Rural
Chattogram,Rangamati,Baghaichhari,Agriculture,Hill paddy / jhum / timber,General Trade,Rural
Chattogram,Rangamati,Barkal,Agriculture,Jhum cultivation / timber,General Trade,Rural
Chattogram,Rangamati,Juraichhari,Agriculture,Jhum cultivation / fishing,General Trade,Rural
Chattogram,Rangamati,Kaptai,Industry,Hydro power / timber / tourism,General Trade,Rural
Chattogram,Rangamati,Kaukhali,Agriculture,Jhum / fruit cultivation,General Trade,Rural
Chattogram,Rangamati,Langadu,Agriculture,Jhum / hill crops / fishing,General Trade,Rural
Chattogram,Rangamati,Naniarchar,Agriculture,Jhum cultivation / timber,General Trade,Rural
Chattogram,Rangamati,Rajasthali,Agriculture,Jhum / fruit cultivation,General Trade,Rural
Chattogram,Rangamati,Rangamati Sadar,Services,Tourism / admin / small trade,General Trade,Semi-Urban
Chattogram,Rangamati,Bilaichhari,Agriculture,Jhum / hill crops,General Trade,Rural
Chattogram,Khagrachhari,Dighinala,Agriculture,Hill paddy / jhum / timber,General Trade,Rural
Chattogram,Khagrachhari,Guimara,Agriculture,Jhum / fruit cultivation,General Trade,Rural
Chattogram,Khagrachhari,Khagrachhari Sadar,Services,Trade / admin / small industry,General Trade,Semi-Urban
Chattogram,Khagrachhari,Lakshmichhari,Agriculture,Jhum cultivation,General Trade,Rural
Chattogram,Khagrachhari,Mahalchhari,Agriculture,Jhum / hill crops / fishing,General Trade,Rural
Chattogram,Khagrachhari,Manikchhari,Agriculture,Tea / jhum / timber,General Trade,Rural
Chattogram,Khagrachhari,Matiranga,Agriculture,Tea / rubber / jhum,General Trade,Rural
Chattogram,Khagrachhari,Panchhari,Agriculture,Jhum / hill crops,General Trade,Rural
Chattogram,Khagrachhari,Ramgarh,Agriculture,Rubber / jhum / border trade,General Trade,Rural
Chattogram,Bandarban,Ali Kadam,Agriculture,Jhum / hill paddy,General Trade,Rural
Chattogram,Bandarban,Bandarban Sadar,Services,Tourism / admin / small trade,General Trade,Semi-Urban
Chattogram,Bandarban,Lama,Agriculture,Jhum / timber / fruit,General Trade,Rural
Chattogram,Bandarban,Naikhongchhari,Agriculture,Jhum cultivation / hill crops,General Trade,Rural
Chattogram,Bandarban,Rowangchhari,Agriculture,Jhum / timber,General Trade,Rural
Chattogram,Bandarban,Ruma,Agriculture,Jhum / ecotourism,General Trade,Rural
Chattogram,Bandarban,Thanchi,Agriculture,Jhum / ecotourism,General Trade,Rural
Rajshahi,Rajshahi,Boalia,Services,Commercial / education / services,Mixed (GT+MT),Urban
Rajshahi,Rajshahi,Motihar,Services,University / residential,Modern Trade,Urban
Rajshahi,Rajshahi,Rajpara,Services,Residential / retail,Mixed (GT+MT),Urban
Rajshahi,Rajshahi,Shah Makhdum,Services,Residential / trade,General Trade,Urban
Rajshahi,Rajshahi,Bagha,Agriculture,Mango / litchi / rice,General Trade,Rural
Rajshahi,Rajshahi,Bagmara,Agriculture,Rice / wheat / silk,General Trade,Rural
Rajshahi,Rajshahi,Charghat,Agriculture,Rice / mango / sugarcane,General Trade,Rural
Rajshahi,Rajshahi,Durgapur,Agriculture,Rice / haor fishing / stone quarry,General Trade,Rural
Rajshahi,Rajshahi,Godagari,Agriculture,Mango / rice / silk,General Trade,Rural
Rajshahi,Rajshahi,Mohanpur,Agriculture,Rice / vegetable farming,General Trade,Rural
Rajshahi,Rajshahi,Paba,Services,Residential / semi-urban trade,General Trade,Semi-Urban
Rajshahi,Rajshahi,Puthia,Agriculture,Rice / vegetable farming,General Trade,Rural
Rajshahi,Rajshahi,Tanore,Agriculture,Rice / mango / silk,General Trade,Rural
Rajshahi,Bogura,Adamdighi,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Bogura,Bogura Sadar,Services,Trade / agro-processing / education,Mixed (GT+MT),Semi-Urban
Rajshahi,Bogura,Dhunat,Agriculture,Rice / jute / vegetable,General Trade,Rural
Rajshahi,Bogura,Dhupchanchia,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Bogura,Gabtali,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Bogura,Kahaloo,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Bogura,Nandigram,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Bogura,Sariakandi,Agriculture,Rice / char cultivation,General Trade,Rural
Rajshahi,Bogura,Shajahanpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Bogura,Sherpur,Agriculture,Rice / jute farming,General Trade,Rural
Rajshahi,Bogura,Shibganj,Agriculture,Mango / rice / silk,General Trade,Rural
Rajshahi,Bogura,Sonatala,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Chapai Nawabganj,Bholahat,Agriculture,Mango / rice farming,General Trade,Rural
Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Agriculture,Mango / silk / border trade,General Trade,Semi-Urban
Rajshahi,Chapai Nawabganj,Gomastapur,Agriculture,Mango / rice / silk,General Trade,Rural
Rajshahi,Chapai Nawabganj,Nachole,Agriculture,Mango / rice farming,General Trade,Rural
Rajshahi,Chapai Nawabganj,Shibganj,Agriculture,Mango / rice / silk,General Trade,Rural
Rajshahi,Naogaon,Atrai,Agriculture,Rice / sugarcane farming,General Trade,Rural
Rajshahi,Naogaon,Badalgachhi,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Dhamoirhat,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Mahadebpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Manda,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Mohadevpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Naogaon Sadar,Services,Agro-trade / education,General Trade,Semi-Urban
Rajshahi,Naogaon,Niamatpur,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Patnitala,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Porsha,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Raninagar,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Natore,Bagatipara,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Natore,Baraigram,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Natore,Gurudaspur,Agriculture,Rice & sugarcane,General Trade,Rural
Rajshahi,Natore,Lalpur,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Natore,Natore Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Rajshahi,Natore,Singra,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Pabna,Atgharia,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Pabna,Bera,Agriculture,Rice / sugarcane,General Trade,Rural
Rajshahi,Pabna,Bhangura,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Pabna,Chatmohar,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Pabna,Faridpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Pabna,Ishwardi,Industry,Sugar mill / EPZ / railway hub,Industrial GT,Semi-Urban
Rajshahi,Pabna,Pabna Sadar,Services,Trade / handloom / education,General Trade,Semi-Urban
Rajshahi,Pabna,Santhia,Agriculture,Rice / sugarcane,General Trade,Rural
Rajshahi,Pabna,Sujanagar,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Sirajganj,Belkuchi,Industry,Handloom / textile weaving,General Trade,Semi-Urban
Rajshahi,Sirajganj,Chauhali,Agriculture,Rice / char cultivation,General Trade,Rural
Rajshahi,Sirajganj,Kamarkhanda,Industry,Handloom / weaving,General Trade,Rural
Rajshahi,Sirajganj,Kazipur,Agriculture,Rice / char farming,General Trade,Rural
Rajshahi,Sirajganj,Raiganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Sirajganj,Shahjadpur,Industry,Handloom / textile / trade,General Trade,Semi-Urban
Rajshahi,Sirajganj,Sirajganj Sadar,Industry,Handloom / trade / services,General Trade,Semi-Urban
Rajshahi,Sirajganj,Tarash,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Sirajganj,Ullahpara,Agriculture,Rice & vegetable farming,General Trade,Rural
