Division,District,Thana / Upazila,Thana Type,Population (Est. 2022),Area (sq km),Pop. Density (per sq km),Division Code,District Code
Dhaka,Gopalganj,Muksudpur,Upazila,245000,319.0,768,30,3010
Dhaka,Gopalganj,Tungipara,Upazila,109000,132.0,826,30,3010
Dhaka,Madaripur,Kalkini,Upazila,221000,268.0,825,30,3011
Dhaka,Madaripur,Madaripur Sadar,Upazila,315000,262.0,1202,30,3011
Dhaka,Madaripur,Rajoir,Upazila,169000,205.0,824,30,3011
Dhaka,Madaripur,Shibchar,Upazila,295000,332.0,889,30,3011
Dhaka,Kishoreganj,Austagram,Upazila,214000,267.0,801,30,3012
Dhaka,Kishoreganj,Bajitpur,Upazila,244000,195.0,1251,30,3012
Dhaka,Kishoreganj,Bhairab,Upazila,241000,95.0,2537,30,3012
Dhaka,Kishoreganj,Hossainpur,Upazila,167000,130.0,1285,30,3012
Dhaka,Kishoreganj,Itna,Upazila,167000,263.0,635,30,3012
Dhaka,Kishoreganj,Karimganj,Upazila,207000,162.0,1278,30,3012
Dhaka,Kishoreganj,Katiadi,Upazila,212000,226.0,938,30,3012
Dhaka,Kishoreganj,Kishoreganj Sadar,Upazila,360000,155.0,2323,30,3012
Dhaka,Kishoreganj,Kuliarchar,Upazila,160000,134.0,1194,30,3012
Dhaka,Kishoreganj,Mithamain,Upazila,124000,203.0,611,30,3012
Dhaka,Kishoreganj,Nikli,Upazila,110000,135.0,815,30,3012
Dhaka,Kishoreganj,Pakundia,Upazila,232000,181.0,1282,30,3012
Dhaka,Kishoreganj,Tarail,Upazila,131000,147.0,891,30,3012
Dhaka,Tangail,Basail,Upazila,141000,150.0,940,30,3013
Dhaka,Tangail,Bhuapur,Upazila,168000,185.0,908,30,3013
Dhaka,Tangail,Delduar,Upazila,178000,175.0,1017,30,3013
Dhaka,Tangail,Dhanbari,Upazila,130000,190.0,684,30,3013
Dhaka,Tangail,Ghatail,Upazila,284000,384.0,740,30,3013
Dhaka,Tangail,Gopalpur,Upazila,152000,162.0,938,30,3013
Dhaka,Tangail,Kalihati,Upazila,256000,272.0,941,30,3013
Dhaka,Tangail,Madhupur,Upazila,260000,508.0,512,30,3013
Dhaka,Tangail,Mirzapur,Upazila,280000,309.0,906,30,3013
Dhaka,Tangail,Nagarpur,Upazila,215000,276.0,779,30,3013
Dhaka,Tangail,Sakhipur,Upazila,176000,358.0,492,30,3013
Dhaka,Tangail,Tangail Sadar,Upazila,458000,343.0,1335,30,3013
Chattogram,Chattogram,Akbar Shah,City Thana,197000,8.2,24024,20,2001
Chattogram,Chattogram,Bakalia,City Thana,395000,10.5,37619,20,2001
Chattogram,Chattogram,Bandar,City Thana,175000,9.6,18229,20,2001
Chattogram,Chattogram,Bayazid,City Thana,290000,14.1,20567,20,2001
Chattogram,Chattogram,Chandgaon,City Thana,399000,19.5,20462,20,2001
Chattogram,Chattogram,Double Mooring,City Thana,305000,7.8,39103,20,2001
Chattogram,Chattogram,EPZ,City Thana,155000,19.4,7990,20,2001
Chattogram,Chattogram,Halishahar,City Thana,258000,10.9,23670,20,2001
Chattogram,Chattogram,Khulshi,City Thana,198000,17.0,11647,20,2001
Chattogram,Chattogram,Kotwali,City Thana,162000,3.2,50625,20,2001
Chattogram,Chattogram,Pahartali,City Thana,311000,23.7,13122,20,2001
Chattogram,Chattogram,Panchlaish,City Thana,245000,12.0,20417,20,2001
Chattogram,Chattogram,Patenga,City Thana,180000,17.7,10169,20,2001
Chattogram,Chattogram,Sadarghat,City Thana,186000,4.6,40435,20,2001
Chattogram,Chattogram,Sitakunda (urban),City Thana,130000,7.5,17333,20,2001
Chattogram,Chattogram,Anwara,Upazila,176000,159.0,1107,20,2001
Chattogram,Chattogram,Banshkhali,Upazila,306000,370.0,827,20,2001
Chattogram,Chattogram,Boalkhali,Upazila,181000,140.0,1293,20,2001
Chattogram,Chattogram,Chandanaish,Upazila,188000,155.0,1213,20,2001
Chattogram,Chattogram,Fatikchhari,Upazila,311000,493.0,631,20,2001
Chattogram,Chattogram,Hathazari,Upazila,316000,269.0,1175,20,2001
Chattogram,Chattogram,Lohagara,Upazila,210000,259.0,811,20,2001
Chattogram,Chattogram,Mirsharai,Upazila,348000,482.0,722,20,2001
Chattogram,Chattogram,Patiya,Upazila,407000,282.0,1443,20,2001
Chattogram,Chattogram,Rangunia,Upazila,295000,358.0,824,20,2001
Chattogram,Chattogram,Raozan,Upazila,283000,204.0,1387,20,2001
Chattogram,Chattogram,Sandwip,Upazila,313000,762.0,411,20,2001
Chattogram,Chattogram,Satkania,Upazila,286000,269.0,1063,20,2001
Chattogram,Chattogram,Sitakunda,Upazila,222000,481.0,462,20,2001
Chattogram,Cox's Bazar,Chakaria,Upazila,336000,571.0,588,20,2002
Chattogram,Cox's Bazar,Cox's Bazar Sadar,Upazila,280000,195.0,1436,20,2002
Chattogram,Cox's Bazar,Kutubdia,Upazila,116000,216.0,537,20,2002
Chattogram,Cox's Bazar,Maheshkhali,Upazila,258000,389.0,663,20,2002
Chattogram,Cox's Bazar,Pekua,Upazila,155000,185.0,838,20,2002
Chattogram,Cox's Bazar,Ramu,Upazila,210000,612.0,343,20,2002
Chattogram,Cox's Bazar,Teknaf,Upazila,268000,400.0,670,20,2002
Chattogram,Cox's Bazar,Ukhia,Upazila,218000,217.0,1005,20,2002
Chattogram,Comilla,Barura,Upazila,218000,172.0,1267,20,2003
Chattogram,Comilla,Brahmanpara,Upazila,178000,136.0,1309,20,2003
Chattogram,Comilla,Burichang,Upazila,193000,149.0,1295,20,2003
Chattogram,Comilla,Chandina,Upazila,244000,183.0,1333,20,2003
Chattogram,Comilla,Chauddagram,Upazila,313000,278.0,1126,20,2003
Chattogram,Comilla,Comilla Sadar,Upazila,290000,106.0,2736,20,2003
Chattogram,Comilla,Comilla Sadar South,Upazila,185000,76.0,2434,20,2003
Chattogram,Comilla,Daudkandi,Upazila,283000,209.0,1354,20,2003
Chattogram,Comilla,Debidwar,Upazila,250000,183.0,1366,20,2003
Chattogram,Comilla,Homna,Upazila,149000,116.0,1284,20,2003
Chattogram,Comilla,Laksam,Upazila,202000,112.0,1804,20,2003
Chattogram,Comilla,Lalmai,Upazila,120000,77.0,1558,20,2003
Chattogram,Comilla,Meghna,Upazila,115000,80.0,1438,20,2003
Chattogram,Comilla,Monoharganj,Upazila,162000,129.0,1256,20,2003
Chattogram,Comilla,Muradnagar,Upazila,343000,259.0,1324,20,2003
Chattogram,Comilla,Nangalkot,Upazila,265000,204.0,1299,20,2003
Chattogram,Comilla,Titas,Upazila,195000,133.0,1466,20,2003
Chattogram,Feni,Chhagalnaiya,Upazila,188000,136.0,1382,20,2004
Chattogram,Feni,Daganbhuiyan,Upazila,215000,215.0,1000,20,2004
Chattogram,Feni,Feni Sadar,Upazila,342000,178.0,1921,20,2004
Chattogram,Feni,Parshuram,Upazila,106000,78.0,1359,20,2004
Chattogram,Feni,Sonagazi,Upazila,193000,195.0,990,20,2004
Chattogram,Feni,Fulgazi,Upazila,104000,90.0,1156,20,2004
Chattogram,Noakhali,Begumganj,Upazila,448000,272.0,1647,20,2005
Chattogram,Noakhali,Chatkhil,Upazila,219000,171.0,1281,20,2005
Chattogram,Noakhali,Companiganj,Upazila,221000,303.0,729,20,2005
Chattogram,Noakhali,Hatiya,Upazila,316000,1539.0,205,20,2005
Chattogram,Noakhali,Kabir Hat,Upazila,195000,148.0,1318,20,2005
Chattogram,Noakhali,Noakhali Sadar,Upazila,263000,194.0,1356,20,2005
Chattogram,Noakhali,Senbagh,Upazila,199000,133.0,1496,20,2005
Chattogram,Noakhali,Sonaimuri,Upazila,218000,168.0,1298,20,2005
Chattogram,Noakhali,Subarna Char,Upazila,189000,443.0,427,20,2005
Chattogram,Lakshmipur,Kamalnagar,Upazila,222000,204.0,1088,20,2006
Chattogram,Lakshmipur,Lakshmipur Sadar,Upazila,400000,197.0,2030,20,2006
Chattogram,Lakshmipur,Ramganj,Upazila,214000,148.0,1446,20,2006
Chattogram,Lakshmipur,Ramgati,Upazila,204000,375.0,544,20,2006
Chattogram,Lakshmipur,Roypur,Upazila,130000,90.0,1444,20,2006
Chattogram,Chandpur,Chandpur Sadar,Upazila,293000,207.0,1415,20,2007
Chattogram,Chandpur,Faridganj,Upazila,222000,175.0,1269,20,2007
Chattogram,Chandpur,Haimchar,Upazila,118000,120.0,983,20,2007
Chattogram,Chandpur,Hajiganj,Upazila,230000,175.0,1314,20,2007
Chattogram,Chandpur,Kachua,Upazila,180000,182.0,989,20,2007
Chattogram,Chandpur,Matlab North,Upazila,193000,174.0,1109,20,2007
Chattogram,Chandpur,Matlab South,Upazila,174000,167.0,1042,20,2007
Chattogram,Chandpur,Shahrasti,Upazila,184000,137.0,1343,20,2007
Chattogram,Brahmanbaria,Akhaura,Upazila,140000,91.0,1538,20,2008
Chattogram,Brahmanbaria,Ashuganj,Upazila,130000,91.0,1429,20,2008
Chattogram,Brahmanbaria,Bancharampur,Upazila,196000,177.0,1107,20,2008
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Upazila,370000,189.0,1958,20,2008
Chattogram,Brahmanbaria,Kasba,Upazila,227000,211.0,1076,20,2008
Chattogram,Brahmanbaria,Nabinagar,Upazila,291000,322.0,904,20,2008
Chattogram,Brahmanbaria,Nasirnagar,Upazila,198000,267.0,742,20,2008
Chattogram,Brahmanbaria,Sarail,Upazila,183000,171.0,1070,20,2008
Chattogram,Brahmanbaria,Bijoynagar,Upazila,100000,75.0,1333,20,2008
Chattogram,Rangamati,Baghaichhari,Upazila,66000,1301.0,51,20,2009
Chattogram,Rangamati,Barkal,Upazila,48000,1007.0,48,20,2009
Chattogram,Rangamati,Juraichhari,Upazila,31000,640.0,48,20,2009
Chattogram,Rangamati,Kaptai,Upazila,76000,661.0,115,20,2009
Chattogram,Rangamati,Kaukhali,Upazila,48000,282.0,170,20,2009
Chattogram,Rangamati,Langadu,Upazila,68000,694.0,98,20,2009
Chattogram,Rangamati,Naniarchar,Upazila,42000,403.0,104,20,2009
Chattogram,Rangamati,Rajasthali,Upazila,33000,323.0,102,20,2009
Chattogram,Rangamati,Rangamati Sadar,Upazila,140000,614.0,228,20,2009
Chattogram,Rangamati,Bilaichhari,Upazila,32000,548.0,58,20,2009
Chattogram,Khagrachhari,Dighinala,Upazila,88000,716.0,123,20,2010
Chattogram,Khagrachhari,Guimara,Upazila,50000,308.0,162,20,2010
Chattogram,Khagrachhari,Khagrachhari Sadar,Upazila,155000,588.0,264,20,2010
Chattogram,Khagrachhari,Lakshmichhari,Upazila,33000,297.0,111,20,2010
Chattogram,Khagrachhari,Mahalchhari,Upazila,47000,427.0,110,20,2010
Chattogram,Khagrachhari,Manikchhari,Upazila,73000,338.0,216,20,2010
Chattogram,Khagrachhari,Matiranga,Upazila,120000,504.0,238,20,2010
Chattogram,Khagrachhari,Panchhari,Upazila,58000,532.0,109,20,2010
Chattogram,Khagrachhari,Ramgarh,Upazila,76000,325.0,234,20,2010
Chattogram,Bandarban,Ali Kadam,Upazila,33000,714.0,46,20,2011
Chattogram,Bandarban,Bandarban Sadar,Upazila,110000,701.0,157,20,2011
Chattogram,Bandarban,Lama,Upazila,85000,923.0,92,20,2011
Chattogram,Bandarban,Naikhongchhari,Upazila,48000,1036.0,46,20,2011
Chattogram,Bandarban,Rowangchhari,Upazila,41000,660.0,62,20,2011
Chattogram,Bandarban,Ruma,Upazila,30000,1112.0,27,20,2011
Chattogram,Bandarban,Thanchi,Upazila,26000,1350.0,19,20,2011
Rajshahi,Rajshahi,Boalia,City Thana,195000,13.5,14444,50,5001
Rajshahi,Rajshahi,Motihar,City Thana,265000,22.0,12045,50,5001
Rajshahi,Rajshahi,Rajpara,City Thana,205000,16.5,12424,50,5001
Rajshahi,Rajshahi,Shah Makhdum,City Thana,178000,18.0,9889,50,5001
Rajshahi,Rajshahi,Bagha,Upazila,187000,224.0,835,50,5001
Rajshahi,Rajshahi,Bagmara,Upazila,279000,343.0,813,50,5001
Rajshahi,Rajshahi,Charghat,Upazila,151000,163.0,926,50,5001
Rajshahi,Rajshahi,Durgapur,Upazila,162000,188.0,862,50,5001
Rajshahi,Rajshahi,Godagari,Upazila,225000,490.0,459,50,5001
Rajshahi,Rajshahi,Mohanpur,Upazila,162000,175.0,926,50,5001
Rajshahi,Rajshahi,Paba,Upazila,225000,194.0,1160,50,5001
Rajshahi,Rajshahi,Puthia,Upazila,170000,179.0,950,50,5001
Rajshahi,Rajshahi,Tanore,Upazila,189000,302.0,626,50,5001
Rajshahi,Bogura,Adamdighi,Upazila,148000,172.0,860,50,5002
Rajshahi,Bogura,Bogura Sadar,Upazila,485000,251.0,1932,50,5002
Rajshahi,Bogura,Dhunat,Upazila,221000,267.0,828,50,5002
Rajshahi,Bogura,Dhupchanchia,Upazila,136000,149.0,913,50,5002
Rajshahi,Bogura,Gabtali,Upazila,199000,230.0,865,50,5002
Rajshahi,Bogura,Kahaloo,Upazila,171000,214.0,799,50,5002
Rajshahi,Bogura,Nandigram,Upazila,163000,177.0,921,50,5002
Rajshahi,Bogura,Sariakandi,Upazila,207000,309.0,670,50,5002
Rajshahi,Bogura,Shajahanpur,Upazila,177000,169.0,1047,50,5002
Rajshahi,Bogura,Sherpur,Upazila,219000,227.0,965,50,5002
Rajshahi,Bogura,Shibganj,Upazila,279000,308.0,906,50,5002
Rajshahi,Bogura,Sonatala,Upazila,140000,180.0,778,50,5002
Rajshahi,Chapai Nawabganj,Bholahat,Upazila,89000,126.0,706,50,5003
Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Upazila,382000,489.0,781,50,5003
Rajshahi,Chapai Nawabganj,Gomastapur,Upazila,206000,362.0,569,50,5003
Rajshahi,Chapai Nawabganj,Nachole,Upazila,146000,262.0,557,50,5003
Rajshahi,Chapai Nawabganj,Shibganj,Upazila,219000,458.0,478,50,5003
Rajshahi,Naogaon,Atrai,Upazila,163000,276.0,591,50,5004
Rajshahi,Naogaon,Badalgachhi,Upazila,138000,231.0,597,50,5004
Rajshahi,Naogaon,Dhamoirhat,Upazila,124000,235.0,528,50,5004
Rajshahi,Naogaon,Mahadebpur,Upazila,196000,323.0,607,50,5004
Rajshahi,Naogaon,Manda,Upazila,226000,303.0,746,50,5004
Rajshahi,Naogaon,Mohadevpur,Upazila,196000,323.0,607,50,5004
Rajshahi,Naogaon,Naogaon Sadar,Upazila,327000,303.0,1079,50,5004
Rajshahi,Naogaon,Niamatpur,Upazila,172000,313.0,550,50,5004
Rajshahi,Naogaon,Patnitala,Upazila,175000,271.0,646,50,5004
Rajshahi,Naogaon,Porsha,Upazila,131000,236.0,555,50,5004
Rajshahi,Naogaon,Raninagar,Upazila,133000,192.0,693,50,5004
Rajshahi,Natore,Bagatipara,Upazila,111000,152.0,730,50,5005
Rajshahi,Natore,Baraigram,Upazila,200000,273.0,733,50,5005
Rajshahi,Natore,Gurudaspur,Upazila,180000,218.0,826,50,5005
Rajshahi,Natore,Lalpur,Upazila,180000,218.0,826,50,5005
Rajshahi,Natore,Natore Sadar,Upazila,280000,292.0,959,50,5005
Rajshahi,Natore,Singra,Upazila,239000,329.0,726,50,5005
Rajshahi,Pabna,Atgharia,Upazila,135000,178.0,758,50,5006
Rajshahi,Pabna,Bera,Upazila,218000,285.0,765,50,5006
Rajshahi,Pabna,Bhangura,Upazila,120000,139.0,863,50,5006
Rajshahi,Pabna,Chatmohar,Upazila,189000,232.0,815,50,5006
Rajshahi,Pabna,Faridpur,Upazila,159000,216.0,736,50,5006
Rajshahi,Pabna,Ishwardi,Upazila,232000,254.0,913,50,5006
Rajshahi,Pabna,Pabna Sadar,Upazila,380000,310.0,1226,50,5006
Rajshahi,Pabna,Santhia,Upazila,228000,302.0,755,50,5006
Rajshahi,Pabna,Sujanagar,Upazila,199000,261.0,762,50,5006
Rajshahi,Sirajganj,Belkuchi,Upazila,207000,177.0,1169,50,5007
Rajshahi,Sirajganj,Chauhali,Upazila,130000,182.0,714,50,5007
Rajshahi,Sirajganj,Kamarkhanda,Upazila,136000,133.0,1023,50,5007
Rajshahi,Sirajganj,Kazipur,Upazila,173000,250.0,692,50,5007
Rajshahi,Sirajganj,Raiganj,Upazila,254000,347.0,732,50,5007
Rajshahi,Sirajganj,Shahjadpur,Upazila,357000,380.0,939,50,5007
Rajshahi,Sirajganj,Sirajganj Sadar,Upazila,392000,309.0,1269,50,5007
Rajshahi,Sirajganj,Tarash,Upazila,165000,261.0,632,50,5007
Rajshahi,Sirajganj,Ullahpara,Upazila,243000,330.0,736,50,5007
Rajshahi,Joypurhat,Joypurhat Sadar,Upazila,315000,238.5,1321,50,5008
Rajshahi,Joypurhat,Akkelpur,Upazila,145000,139.47,1040,50,5008
Rajshahi,Joypurhat,Kalai,Upazila,146000,166.3,878,50,5008
Rajshahi,Joypurhat,Khetlal,Upazila,111000,142.6,778,50,5008
Rajshahi,Joypurhat,Panchbibi,Upazila,240000,278.53,862,50,5008
Khulna,Khulna,Daulatpur,City Thana,204000,24.0,8500,40,4001
Khulna,Khulna,Khan Jahan Ali,City Thana,153000,21.0,7286,40,4001
Khulna,Khulna,Khalishpur,City Thana,191000,12.0,15917,40,4001
Khulna,Khulna,Khulna Sadar,City Thana,157000,9.5,16526,40,4001
Khulna,Khulna,Sonadanga,City Thana,174000,11.3,15398,40,4001
Khulna,Khulna,Aira,Upazila,134000,143.0,937,40,4001
Khulna,Khulna,Batiaghata,Upazila,143000,214.0,668,40,4001
Khulna,Khulna,Dacope,Upazila,139000,447.0,311,40,4001
Khulna,Khulna,Dighalia,Upazila,111000,108.0,1028,40,4001
Khulna,Khulna,Dumuria,Upazila,241000,368.0,655,40,4001
Khulna,Khulna,Koyra,Upazila,170000,628.0,271,40,4001
Khulna,Khulna,Paikgachha,Upazila,193000,336.0,574,40,4001
Khulna,Khulna,Phultala,Upazila,105000,85.0,1235,40,4001
Khulna,Khulna,Rupsha,Upazila,135000,131.0,1031,40,4001
Khulna,Khulna,Terokhada,Upazila,96000,124.0,774,40,4001
Khulna,Bagerhat,Bagerhat Sadar,Upazila,225000,307.0,733,40,4002
Khulna,Bagerhat,Chitalmari,Upazila,131000,177.0,740,40,4002
Khulna,Bagerhat,Fakirhat,Upazila,123000,175.0,703,40,4002
Khulna,Bagerhat,Kachua,Upazila,158000,249.0,635,40,4002
Khulna,Bagerhat,Mollahat,Upazila,134000,204.0,657,40,4002
Khulna,Bagerhat,Mongla,Upazila,98000,476.0,206,40,4002
Khulna,Bagerhat,Morrelganj,Upazila,218000,392.0,556,40,4002
Khulna,Bagerhat,Rampal,Upazila,152000,338.0,450,40,4002
Khulna,Bagerhat,Sarankhola,Upazila,115000,249.0,462,40,4002
Khulna,Satkhira,Assasuni,Upazila,196000,332.0,590,40,4003
Khulna,Satkhira,Debhata,Upazila,120000,183.0,656,40,4003
Khulna,Satkhira,Kalaroa,Upazila,216000,272.0,794,40,4003
Khulna,Satkhira,Kaliganj,Upazila,207000,312.0,663,40,4003
Khulna,Satkhira,Satkhira Sadar,Upazila,340000,267.0,1273,40,4003
Khulna,Satkhira,Shyamnagar,Upazila,245000,1988.0,123,40,4003
Khulna,Satkhira,Tala,Upazila,190000,279.0,681,40,4003
Khulna,Jessore,Abhaynagor,Upazila,167000,222.0,752,40,4004
Khulna,Jessore,Bagherpara,Upazila,161000,243.0,663,40,4004
Khulna,Jessore,Chaugachha,Upazila,193000,237.0,814,40,4004
Khulna,Jessore,Jhikargachha,Upazila,198000,247.0,802,40,4004
Khulna,Jessore,Jessore Sadar,Upazila,405000,280.0,1446,40,4004
Khulna,Jessore,Keshabpur,Upazila,165000,210.0,786,40,4004
Khulna,Jessore,Manirampur,Upazila,272000,376.0,723,40,4004
Khulna,Jessore,Sharsha,Upazila,224000,333.0,673,40,4004
Khulna,Narail,Kalia,Upazila,210000,290.0,724,40,4005
Khulna,Narail,Lohagara,Upazila,172000,237.0,726,40,4005
Khulna,Narail,Narail Sadar,Upazila,233000,282.0,826,40,4005
Khulna,Magura,Magura Sadar,Upazila,255000,322.0,792,40,4006
Khulna,Magura,Mohammadpur,Upazila,157000,231.0,680,40,4006
Khulna,Magura,Shalikha,Upazila,126000,173.0,728,40,4006
